indicator_id,Date,Hour,geo_id,value
1777,2024-07-16,15,8741,1598.5
1777,2024-07-16,16,8741,1935.3
1777,2024-07-16,17,8741,2446.0
1777,2024-07-16,18,8741,3134.5
1777,2024-07-16,19,8741,3980.3
1777,2024-07-16,20,8741,4939.8
1777,2024-07-16,21,8741,5840.5
1777,2024-07-16,22,8741,6724.8
1777,2024-07-16,23,8741,7382.8
1777,2024-07-16,24,8741,7506.0
1777,2024-07-17,1,8741,7177.5
1777,2024-07-17,2,8741,6668.0
1777,2024-07-17,3,8741,5918.5
1777,2024-07-17,4,8741,5023.0
1777,2024-07-17,5,8741,4282.5
1777,2024-07-17,6,8741,3841.0
1777,2024-07-17,7,8741,3472.0
1777,2024-07-17,8,8741,3074.8
1777,2024-07-17,9,8741,2530.3
1777,2024-07-17,10,8741,2090.5
1777,2024-07-17,11,8741,1905.0
1777,2024-07-17,12,8741,2184.0
1777,2024-07-17,13,8741,2656.3
1777,2024-07-17,14,8741,3183.8
1777,2024-07-17,15,8741,3612.0
1777,2024-07-17,16,8741,3993.3
1777,2024-07-17,17,8741,4425.0
1777,2024-07-17,18,8741,4782.3
1777,2024-07-17,19,8741,5058.3
1777,2024-07-17,20,8741,5337.0
1777,2024-07-17,21,8741,5425.8
1777,2024-07-17,22,8741,5318.8
1777,2024-07-17,23,8741,5039.0
1777,2024-07-17,24,8741,4956.3
1777,2024-07-18,1,8741,4929.0
1777,2024-07-18,2,8741,4684.5
1777,2024-07-18,3,8741,4263.3
1777,2024-07-18,4,8741,3788.5
1777,2024-07-18,5,8741,3224.0
1777,2024-07-18,6,8741,2769.5
1777,2024-07-18,7,8741,2398.8
1777,2024-07-18,8,8741,2048.8
1777,2024-07-18,9,8741,1628.0
1777,2024-07-18,10,8741,1283.8
1777,2024-07-18,11,8741,1155.3
1777,2024-07-18,12,8741,1333.8
1777,2024-07-18,13,8741,1692.0
1777,2024-07-18,14,8741,2098.3
1777,2024-07-18,15,8741,2492.5
1777,2024-07-18,16,8741,2942.8
1777,2024-07-18,17,8741,3411.5
1777,2024-07-18,18,8741,3807.3
1777,2024-07-18,19,8741,4170.8
1777,2024-07-18,20,8741,4585.0
1777,2024-07-18,21,8741,4969.0
1777,2024-07-18,22,8741,5213.0
1777,2024-07-18,23,8741,5210.5
1777,2024-07-18,24,8741,5032.3
1777,2024-07-19,1,8741,4128.5
1777,2024-07-19,2,8741,3524.5
1777,2024-07-19,3,8741,2916.5
1777,2024-07-19,4,8741,2326.0
1777,2024-07-19,5,8741,1830.3
1777,2024-07-19,6,8741,1440.8
1777,2024-07-19,7,8741,1183.3
1777,2024-07-19,8,8741,985.8
1777,2024-07-19,9,8741,818.3
1777,2024-07-19,10,8741,664.0
1777,2024-07-19,11,8741,589.8
1777,2024-07-19,12,8741,725.8
1777,2024-07-19,13,8741,1139.5
1777,2024-07-19,14,8741,1767.8
1777,2024-07-19,15,8741,2463.8
